id,carat,cut,color,clarity,depth,table,x,y,z,price
21779,1.56,Ideal,G,VS2,62.0,57.0,7.45,7.51,4.64,12716
20589,2.05,Ideal,I,SI2,62.0,54.0,8.1,8.14,5.05,13919
24722,0.72,Ideal,H,VS1,61.1,57.0,5.76,5.79,3.53,2668
3582,1.07,Premium,G,VVS2,61.7,58.0,6.6,6.54,4.05,8296
15720,1.02,Good,F,VS2,59.4,62.0,6.65,6.58,3.92,7099
14370,0.5,Premium,E,VS1,59.6,60.0,5.17,5.13,3.08,1813
3295,1.01,Premium,F,VS2,62.9,58.0,6.41,6.38,4.02,6533
29017,1.02,Good,F,VS1,64.4,56.0,6.36,6.32,4.09,6956
4401,1.14,Premium,F,SI2,61.9,58.0,6.75,6.71,4.16,4915
21565,0.41,Very Good,H,VVS2,62.8,56.0,4.73,4.76,2.97,1161
2403,0.76,Premium,E,SI2,60.3,59.0,5.95,5.88,3.57,2672
16951,0.33,Ideal,I,SI1,61.4,55.0,4.51,4.47,2.75,572
25220,0.55,Premium,E,SI1,59.5,58.0,5.36,5.31,3.19,1431
9070,0.5,Very Good,G,SI1,63.2,59.0,5.08,5.06,3.2,1139
17561,1.5,Fair,G,VS1,58.2,66.0,7.5,7.43,4.4,10619
12670,0.42,Ideal,E,VS1,61.5,55.0,4.83,4.86,2.98,1000
9642,0.31,Ideal,I,VS2,62.1,56.0,4.32,4.35,2.69,537
28461,0.3,Very Good,F,SI1,63.0,59.0,4.24,4.26,2.68,527
2109,0.34,Very Good,H,VVS1,61.3,54.0,4.51,4.56,2.78,638
22219,0.32,Good,D,SI1,63.3,55.0,4.38,4.36,2.77,756
9069,0.32,Premium,E,SI1,60.1,59.0,4.41,4.44,2.66,566
11798,0.71,Premium,G,VS1,61.1,58.0,5.74,5.78,3.52,2444
12235,0.52,Ideal,D,VS1,61.3,55.0,5.23,5.21,3.2,2024
10784,1.19,Very Good,G,SI2,59.9,63.0,6.91,6.87,4.12,4462
410,0.34,Ideal,E,SI1,61.9,54.0,4.51,4.48,2.78,714
6549,0.51,Premium,E,VS2,61.6,58.0,5.07,5.12,3.14,1575
21885,1.15,Ideal,J,VS1,62.3,56.0,6.66,6.71,4.16,5893
14941,0.9,Ideal,H,SI1,61.7,55.0,6.25,6.29,3.87,4093
2189,1.0,Fair,F,SI2,65.6,55.0,6.25,6.21,4.08,3740
20610,1.01,Good,H,SI1,63.7,59.0,6.29,6.38,4.03,4926
25744,0.96,Premium,F,SI1,60.6,60.0,6.4,6.35,3.87,4284
2816,0.3,Ideal,D,SI1,62.7,56.0,4.27,4.29,2.69,709
28377,1.29,Ideal,G,VVS1,61.3,59.0,6.96,6.99,4.29,11873
10882,1.15,Premium,H,VS2,62.2,59.0,6.72,6.64,4.16,6328
20111,0.28,Very Good,H,VS2,61.7,58.0,4.22,4.24,2.62,628
10212,0.3,Ideal,E,VVS1,60.9,57.0,4.33,4.36,2.65,997
11313,1.7,Ideal,H,VS2,62.6,57.0,7.62,7.66,4.78,12059
13676,0.33,Premium,E,VS1,59.3,61.0,4.52,4.49,2.68,1033
16723,0.72,Very Good,F,SI1,62.0,57.0,5.75,5.73,3.56,2737
16621,0.53,Ideal,H,VS1,61.3,55.0,5.24,5.19,3.2,1613
4585,1.15,Ideal,I,VS2,62.0,56.0,6.7,6.76,4.17,5506
9779,0.28,Ideal,F,VS1,61.8,54.0,4.16,4.2,2.59,598
9295,1.01,Ideal,H,SI2,61.8,57.0,6.47,6.42,3.99,4282
24940,1.2,Premium,G,VS2,61.9,58.0,6.77,6.73,4.18,7575
24868,0.72,Ideal,F,VVS2,61.3,56.0,5.77,5.8,3.55,3819
14384,0.93,Good,G,SI1,60.8,61.0,6.26,6.29,3.8,4159
26880,0.77,Ideal,F,VS2,62.7,56.0,5.84,5.86,3.66,3017
4417,1.21,Ideal,E,SI1,62.6,56.0,6.77,6.82,4.25,10222
23484,2.02,Ideal,I,SI1,61.8,58.0,8.09,8.13,5.01,16253
8965,1.52,Ideal,H,VS2,60.3,57.0,7.48,7.46,4.5,10929
10697,0.32,Ideal,F,IF,61.6,56.0,4.37,4.39,2.7,1399
15820,0.73,Premium,I,VS1,62.6,58.0,5.75,5.67,3.57,2316
9577,0.7,Very Good,E,SI1,59.9,61.0,5.8,5.83,3.48,2537
4041,0.79,Ideal,E,SI2,61.3,56.0,5.95,5.98,3.66,2902
19343,1.27,Premium,G,SI2,61.7,58.0,6.96,6.9,4.28,6116
1654,0.51,Ideal,F,SI2,62.5,57.0,5.12,5.07,3.19,1359
28923,0.34,Ideal,G,VS2,61.7,56.0,4.47,4.51,2.77,596
16761,0.7,Very Good,E,SI1,62.9,57.0,5.63,5.65,3.55,2172
13885,1.0,Premium,H,SI1,59.7,61.0,6.47,6.39,3.83,3950
11592,1.56,Ideal,I,SI2,62.0,56.0,7.43,7.41,4.6,8223
21581,0.51,Ideal,H,VS2,61.1,55.0,5.18,5.17,3.16,1402
13372,2.01,Very Good,I,VS2,61.4,58.0,8.07,8.01,4.94,15847
15322,0.51,Very Good,G,VS2,61.9,58.0,5.14,5.11,3.17,1438
10430,0.41,Premium,G,VVS2,61.8,59.0,4.75,4.79,2.95,1007
3062,0.7,Very Good,F,VS1,61.9,58.0,5.66,5.69,3.51,2889
28307,0.31,Premium,F,IF,61.0,58.0,4.38,4.42,2.68,956
20531,1.52,Premium,E,SI2,58.2,62.0,7.51,7.53,4.31,7526
21306,1.55,Premium,H,VS2,59.5,60.0,7.58,7.54,4.49,11435
15832,0.5,Fair,F,SI1,65.0,59.0,5.09,4.91,3.23,1436
10385,0.35,Ideal,J,VS1,61.7,56.0,4.54,4.57,2.81,518
9904,0.41,Ideal,H,VVS2,62.2,57.0,4.78,4.79,2.98,877
11127,0.71,Ideal,I,SI1,62.6,56.0,5.69,5.68,3.56,2396
2247,0.31,Very Good,H,VS1,62.9,59.0,4.31,4.33,2.72,698
6357,1.67,Very Good,I,SI1,60.1,59.0,7.59,7.69,4.62,10316
1135,2.04,Very Good,I,SI2,63.5,58.0,8.08,8.03,5.09,17203
10710,0.7,Premium,H,IF,61.1,56.0,5.75,5.68,3.49,2882
26651,1.21,Premium,G,VS1,62.1,58.0,6.81,6.74,4.2,7900
19606,0.51,Ideal,D,VS2,61.1,57.0,5.12,5.15,3.14,1846
6491,1.07,Ideal,J,SI1,62.0,56.0,6.58,6.61,4.08,4068
4714,1.01,Very Good,H,SI1,63.1,58.0,6.34,6.37,4.01,5410
18906,1.53,Premium,G,VS2,61.4,58.0,7.39,7.46,4.56,12311
21021,1.02,Very Good,D,SI1,59.9,60.0,6.58,6.52,3.9,5370
24735,0.53,Premium,G,VS2,59.5,57.0,5.29,5.27,3.16,1607
10045,0.4,Ideal,F,SI1,62.8,54.0,4.75,4.72,2.97,792
7003,0.43,Ideal,G,SI1,62.0,55.0,4.85,4.87,3.01,754
14733,0.59,Very Good,E,SI2,62.6,58.0,5.36,5.33,3.34,1274
25734,1.24,Premium,G,VS2,62.1,58.0,6.88,6.83,4.26,8192
24744,0.51,Good,G,VS1,63.3,56.0,5.11,5.09,3.23,1662
9397,0.6,Ideal,F,VS1,60.9,56.0,5.39,5.43,3.28,2123
19266,0.25,Very Good,E,VS1,60.2,58.0,4.09,4.12,2.47,614
7482,0.34,Ideal,G,VS1,62.1,55.0,4.48,4.45,2.77,752
22768,1.51,Premium,E,SI1,62.2,59.0,7.27,7.3,4.54,11460
30055,0.62,Good,E,VS2,61.5,64.0,5.57,5.47,3.39,1984
18477,0.72,Ideal,E,SI1,62.0,55.0,5.79,5.76,3.58,2805
22339,0.45,Ideal,D,VS1,62.9,57.0,4.82,4.86,3.05,1248
8251,0.31,Ideal,E,SI1,62.0,55.0,4.35,4.39,2.71,672
6306,0.33,Ideal,G,VVS2,62.3,56.0,4.47,4.44,2.77,965
24681,1.06,Very Good,H,SI1,62.0,57.0,6.55,6.5,4.05,4784
12344,0.51,Very Good,F,SI1,62.7,58.0,5.12,5.09,3.2,1265
13227,0.56,Very Good,G,VS1,62.9,55.0,5.26,5.3,3.33,1804
18329,0.37,Very Good,E,SI1,61.4,55.0,4.58,4.61,2.82,584
26222,0.28,Ideal,E,VS1,61.8,56.0,4.18,4.2,2.58,605
2458,0.4,Ideal,E,SI2,61.5,56.0,4.74,4.78,2.92,641
9646,0.31,Very Good,H,VVS2,62.4,60.0,4.21,4.25,2.65,625
9826,0.54,Premium,F,VS2,61.2,58.0,5.21,5.27,3.21,1746
10989,1.51,Premium,H,SI2,62.2,58.0,7.38,7.33,4.56,7554
20379,0.33,Ideal,F,VS2,61.6,56.0,4.46,4.49,2.75,746
22273,1.68,Ideal,J,VS2,60.4,55.0,7.79,7.74,4.67,9681
5217,0.6,Fair,E,SI2,61.2,54.0,5.5,5.48,3.35,2600
27776,0.55,Ideal,F,SI1,61.3,56.0,5.3,5.27,3.24,1363
17495,2.06,Ideal,I,VS2,60.9,57.0,8.25,8.15,5.0,18804
12244,1.51,Premium,I,VS2,62.4,59.0,7.34,7.3,4.56,9920
24839,1.51,Premium,H,VS2,61.5,58.0,7.39,7.33,4.52,10685
15644,0.83,Ideal,E,SI1,61.2,57.0,6.04,6.07,3.71,3154
26694,1.22,Ideal,G,VS1,62.3,54.0,6.85,6.79,4.25,9768
12890,1.03,Ideal,D,SI1,61.0,54.0,6.55,6.58,4.02,5581
12324,1.14,Ideal,E,SI2,61.3,56.0,6.69,6.63,4.09,5208
10696,0.41,Very Good,F,VS1,59.8,56.0,4.84,4.87,2.91,1007
19699,0.38,Ideal,D,IF,61.3,56.0,4.68,4.71,2.88,1400
3472,1.5,Very Good,F,VVS2,62.2,59.0,7.25,7.3,4.52,17103
4680,0.72,Very Good,E,VS2,62.2,59.0,5.68,5.72,3.55,2913
9287,1.02,Very Good,E,SI2,62.6,56.0,6.4,6.46,4.02,5547
16993,1.52,Ideal,E,SI1,61.8,56.0,7.37,7.4,4.56,13993
9043,1.12,Very Good,D,SI2,61.3,59.0,6.65,6.7,4.08,5880
20168,0.5,Premium,E,VS2,60.8,59.0,5.11,5.14,3.11,1698
2146,0.32,Ideal,F,IF,61.4,54.0,4.41,4.46,2.72,979
28962,0.3,Ideal,D,VS2,62.0,56.0,4.34,4.31,2.68,911
27705,0.37,Ideal,D,VS2,61.8,53.0,4.6,4.63,2.85,957
18014,1.07,Ideal,G,SI1,61.6,56.0,6.59,6.62,4.07,6225
11830,0.36,Ideal,G,VVS2,61.9,55.0,4.57,4.52,2.82,1053
11773,0.52,Ideal,F,VS2,61.5,56.0,5.16,5.19,3.18,1803
24756,0.7,Good,G,SI1,63.8,57.0,5.63,5.59,3.58,1949
610,0.75,Premium,E,VS2,60.3,58.0,5.89,5.85,3.55,2901
7946,0.36,Very Good,G,VS2,61.4,59.0,4.55,4.58,2.79,689
14324,0.32,Premium,G,VS2,61.8,59.0,4.45,4.42,2.74,720
6518,0.29,Ideal,F,VVS2,60.4,57.0,4.26,4.3,2.59,697
18289,0.7,Very Good,G,VS2,62.3,59.0,5.66,5.7,3.54,2738
5351,0.34,Ideal,G,VVS1,63.0,56.0,4.45,4.48,2.82,1053
643,0.41,Ideal,G,SI1,61.5,53.0,4.8,4.82,2.96,754
1464,0.36,Ideal,D,SI1,61.6,56.0,4.56,4.6,2.82,663
28443,1.51,Ideal,E,VS2,62.0,57.0,7.33,7.37,4.56,14709
20070,0.31,Ideal,G,VVS1,62.3,55.0,4.35,4.38,2.72,849
27961,0.45,Very Good,G,VVS1,59.9,59.0,4.99,5.03,2.98,1838
23007,0.38,Premium,E,VS1,61.8,61.0,4.68,4.64,2.89,1052
23552,0.51,Very Good,E,SI1,62.1,57.0,5.09,5.12,3.17,1438
7858,1.17,Premium,F,VS1,59.8,61.0,6.87,6.84,4.11,8810
12311,0.32,Ideal,H,VS2,62.6,57.0,4.39,4.37,2.74,648
5333,0.7,Fair,D,VS2,62.1,66.0,5.6,5.56,3.44,2550
27656,0.59,Very Good,G,SI2,61.4,56.0,5.43,5.39,3.32,1273
19906,0.31,Ideal,G,IF,61.9,55.0,4.32,4.38,2.69,863
25168,0.59,Ideal,D,VS1,63.0,56.0,5.36,5.38,3.38,2385
9761,0.33,Ideal,F,VS2,61.9,57.0,4.41,4.44,2.74,749
22255,0.41,Ideal,E,SI2,61.9,56.0,4.82,4.81,2.98,812
6545,1.25,Ideal,I,IF,61.2,57.0,6.98,6.94,4.26,9035
13847,1.01,Very Good,F,SI2,63.3,56.0,6.37,6.34,4.02,4232
11742,1.24,Ideal,H,VVS2,60.8,57.0,6.94,6.98,4.22,8818
15693,0.54,Ideal,E,SI2,62.3,55.0,5.18,5.21,3.24,1239
24438,0.71,Ideal,E,VS1,61.7,55.0,5.75,5.77,3.56,3516
11959,1.07,Ideal,H,SI1,62.7,57.0,6.55,6.51,4.09,5060
6270,0.52,Ideal,E,VS1,62.2,55.0,5.22,5.18,3.23,1933
20521,0.81,Very Good,J,SI2,61.0,63.0,6.05,6.11,3.67,2418
26517,0.3,Ideal,F,VVS1,61.1,57.0,4.31,4.33,2.63,790
19851,0.53,Ideal,F,VS1,62.2,55.0,5.2,5.16,3.23,1881
21879,0.34,Ideal,E,SI1,62.0,55.0,4.47,4.5,2.78,596
12339,0.5,Ideal,E,SI1,61.3,57.0,5.09,5.12,3.13,1412
20938,0.52,Good,F,VS2,63.9,56.0,5.09,5.13,3.26,1690
30016,1.52,Very Good,F,VS2,60.1,58.0,7.44,7.51,4.48,12283
26367,0.51,Ideal,G,VS2,61.9,55.0,5.1,5.16,3.18,1599
14569,0.3,Ideal,H,IF,61.8,56.0,4.29,4.31,2.66,814
23113,1.01,Premium,D,VS2,61.8,60.0,6.37,6.39,3.95,6909
360,0.3,Ideal,D,VS2,61.7,56.0,4.3,4.33,2.66,710
27009,1.5,Good,G,VS2,64.1,57.0,7.17,7.09,4.6,12392
14321,1.75,Premium,E,VS2,61.0,61.0,7.74,7.7,4.71,17667
2910,0.57,Very Good,H,VVS1,62.1,56.0,5.31,5.33,3.31,2040
16045,1.02,Ideal,E,SI1,62.1,56.0,6.43,6.4,3.99,5487
2199,1.02,Ideal,E,SI1,62.5,56.0,6.41,6.45,4.02,5255
18872,1.11,Ideal,H,SI2,62.1,57.0,6.66,6.59,4.12,4676
6871,0.33,Ideal,D,SI1,61.7,56.0,4.47,4.42,2.74,694
6405,0.84,Ideal,D,SI1,61.9,56.0,6.08,6.1,3.76,4309
27080,0.7,Very Good,J,VS2,59.2,63.0,5.75,5.77,3.42,2035
12973,0.7,Very Good,I,SI2,61.3,55.0,5.67,5.74,3.5,1244
15299,0.52,Premium,G,VS1,62.0,58.0,5.17,5.17,3.2,1686
4139,0.79,Ideal,D,SI1,61.8,56.0,5.92,5.94,3.67,3210
7944,0.71,Ideal,F,SI1,62.4,54.0,5.75,5.72,3.57,3004
22854,1.01,Very Good,I,SI2,63.1,59.0,6.25,6.19,3.93,4078
16744,0.7,Premium,E,SI2,62.6,60.0,5.67,5.61,3.52,2381
25205,0.32,Ideal,F,IF,62.2,55.0,4.39,4.42,2.74,943
10579,0.3,Ideal,H,VS2,62.0,53.9,4.29,4.34,2.68,491
20883,0.71,Ideal,G,SI1,61.6,57.0,5.76,5.74,3.54,2385
20632,0.3,Good,F,VS2,62.5,62.0,4.21,4.25,2.64,604
26149,1.2,Premium,E,SI1,62.2,59.0,6.74,6.66,4.17,5476
6756,0.41,Ideal,I,VVS2,62.3,56.0,4.74,4.77,2.96,752
1522,0.33,Very Good,E,SI1,62.0,56.0,4.43,4.41,2.74,579
21101,0.85,Ideal,H,SI1,62.1,55.0,6.07,6.05,3.76,3154
19892,0.7,Ideal,G,SI1,60.8,55.0,5.73,5.77,3.5,2100
21946,0.32,Ideal,F,VS2,62.2,56.0,4.37,4.38,2.72,645
2182,0.35,Ideal,G,VS1,61.8,55.0,4.53,4.56,2.81,706
3496,0.53,Ideal,E,SI1,62.1,56.0,5.18,5.22,3.22,1181
20378,0.4,Premium,D,SI1,60.0,58.0,4.74,4.77,2.86,810
24451,0.32,Ideal,E,VVS1,61.8,56.0,4.41,4.43,2.73,1014
13185,0.7,Ideal,G,SI1,62.1,57.0,5.64,5.68,3.52,3089
26873,0.43,Very Good,G,VS2,60.1,58.0,4.88,4.92,2.95,943
13114,0.31,Ideal,E,VS2,61.4,56.0,4.36,4.38,2.68,682
18943,1.02,Very Good,D,SI2,63.1,61.0,6.39,6.35,4.02,4118
3375,1.52,Very Good,G,SI1,61.2,60.0,7.43,7.41,4.54,8824
17816,0.32,Ideal,E,VS2,62.6,56.0,4.4,4.37,2.74,900
27109,0.31,Ideal,E,VVS2,61.4,55.0,4.4,4.43,2.71,752
23865,2.14,Premium,G,SI2,60.4,59.0,8.33,8.38,5.06,17186
8842,0.41,Ideal,D,SI1,62.4,54.0,4.73,4.77,2.97,1017
13073,1.01,Premium,H,SI1,61.4,59.0,6.41,6.45,3.94,4809
18499,1.52,Ideal,E,SI1,62.7,55.0,7.33,7.37,4.61,10180
22266,0.52,Ideal,D,SI2,61.0,56.0,5.22,5.18,3.17,1170
11928,1.55,Ideal,J,VVS2,61.7,58.0,7.36,7.4,4.56,8848
18488,0.55,Ideal,D,VS2,61.0,57.0,5.31,5.28,3.23,2047
18187,0.4,Ideal,E,VS2,62.0,55.0,4.76,4.79,2.96,975
17841,0.7,Premium,E,SI1,60.7,59.0,5.77,5.72,3.48,2539
11323,1.44,Ideal,H,VS2,62.1,55.0,7.26,7.18,4.5,8847
23858,0.71,Premium,I,SI2,61.2,59.0,5.72,5.75,3.51,1902
10341,0.33,Ideal,G,IF,62.3,56.0,4.42,4.45,2.76,891
17993,0.77,Premium,H,SI1,62.5,58.0,5.84,5.8,3.63,2396
24178,0.7,Premium,E,VS1,62.3,58.0,5.7,5.63,3.53,2473
10021,1.5,Very Good,J,SI2,63.2,54.0,7.32,7.27,4.61,7092
12136,0.44,Ideal,G,VVS1,60.6,57.0,4.95,4.91,2.98,1370
29624,0.32,Ideal,G,VS2,61.1,56.0,4.43,4.45,2.71,643
1760,0.7,Premium,D,SI1,60.4,59.0,5.78,5.74,3.49,2509
24903,1.0,Premium,E,VS2,58.6,58.0,6.56,6.53,3.83,7168
27010,0.32,Very Good,F,VVS1,62.5,57.0,4.36,4.41,2.74,784
17661,0.91,Fair,H,SI2,65.1,58.0,6.02,6.0,3.95,2865
13625,0.71,Premium,H,VS2,62.4,62.0,5.71,5.7,3.56,2321
21645,1.24,Ideal,H,VS2,60.4,57.0,6.98,7.02,4.22,7294
25901,0.5,Premium,F,SI1,60.1,59.0,5.18,5.29,3.14,1409
14807,0.35,Good,E,VS2,63.1,57.0,4.46,4.49,2.82,613
19864,0.3,Premium,I,VVS1,59.3,59.0,4.42,4.38,2.6,480
10507,0.3,Premium,G,VS1,61.6,58.0,4.3,4.32,2.66,605
18817,3.04,Very Good,J,SI2,63.1,56.0,9.36,9.31,5.75,15354
23424,1.58,Ideal,J,VS1,62.0,55.0,7.49,7.46,4.63,9095
8896,1.51,Ideal,I,VS2,61.9,57.0,7.35,7.31,4.54,9704
21140,1.14,Very Good,H,SI1,62.5,59.0,6.69,6.6,4.17,5219
8064,0.51,Ideal,G,SI2,61.9,57.0,5.1,5.13,3.17,904
11255,0.33,Ideal,E,SI1,61.3,56.0,4.44,4.47,2.73,589
29684,0.57,Very Good,H,SI1,63.3,55.0,5.33,5.29,3.36,1198
4038,0.42,Premium,G,VS1,61.5,59.0,4.78,4.84,2.96,921
4863,1.04,Very Good,E,SI1,62.6,56.0,6.49,6.46,4.05,5598
27005,0.31,Ideal,D,VS2,62.0,56.0,4.36,4.39,2.71,707
16362,0.31,Very Good,G,VS2,63.2,57.0,4.36,4.34,2.75,640
21957,0.75,Premium,E,SI2,61.9,59.0,5.88,5.82,3.63,2426
18391,2.0,Good,E,SI2,64.1,57.0,7.88,7.94,5.07,15690
4505,0.82,Very Good,E,SI1,62.2,56.0,5.93,5.96,3.71,3334
26454,1.01,Good,D,SI1,63.3,57.0,6.34,6.31,4.01,5783
20736,1.63,Premium,F,VS1,61.0,60.0,7.61,7.57,4.64,18028
14853,0.35,Ideal,H,VS1,61.1,55.0,4.58,4.58,2.8,984
11378,1.01,Premium,E,SI2,59.6,60.0,6.52,6.46,3.9,3639
5473,0.51,Ideal,F,VVS2,61.2,55.0,5.16,5.19,3.17,2215
14640,0.7,Ideal,J,SI1,62.1,58.0,5.72,5.66,3.54,1931
2799,0.51,Ideal,E,VS1,61.8,55.0,5.15,5.18,3.19,1825
2235,2.08,Very Good,H,SI1,62.9,58.0,8.15,8.07,5.1,17666
5716,0.31,Premium,H,IF,59.2,60.0,4.45,4.42,2.63,1046
29918,0.24,Very Good,F,VVS1,61.8,55.0,3.98,4.0,2.46,485
3168,0.57,Ideal,F,VS2,62.0,55.0,5.29,5.31,3.29,1715
8298,0.62,Ideal,D,SI1,61.2,57.0,5.51,5.48,3.36,2070
20329,1.02,Ideal,G,SI1,61.5,57.0,6.45,6.49,3.97,5455
29359,0.7,Premium,F,SI1,62.5,60.0,5.68,5.64,3.54,2351
15771,0.51,Ideal,H,VS2,61.8,53.0,5.17,5.19,3.2,1402
19378,0.71,Ideal,H,VS2,62.3,55.2,5.72,5.65,3.54,2304
23761,0.32,Ideal,G,VVS2,61.9,55.0,4.42,4.41,2.73,936
26391,0.24,Ideal,F,VVS1,62.4,56.0,3.99,4.03,2.5,552
9055,0.33,Very Good,G,VS1,61.9,59.0,4.42,4.47,2.75,666
24893,0.33,Premium,E,VS1,61.3,59.0,4.41,4.44,2.71,781
14112,0.42,Ideal,E,VVS2,61.3,57.0,4.85,4.8,2.96,1238
26816,0.91,Very Good,G,VS2,63.1,56.0,6.14,6.2,3.89,5148
8497,1.01,Ideal,D,VS2,62.8,57.0,6.37,6.44,4.02,6563
24815,1.22,Ideal,D,VS2,62.8,55.0,6.88,6.82,4.29,8750
21043,1.5,Premium,J,VS1,62.7,58.0,7.32,7.2,4.55,8189
19180,0.3,Ideal,G,IF,61.5,57.0,4.29,4.32,2.64,863
5689,1.07,Ideal,H,SI2,61.9,56.0,6.59,6.56,4.07,4537
11204,0.3,Ideal,D,VS1,61.5,54.0,4.35,4.37,2.68,718
6715,0.57,Ideal,G,VS1,62.9,57.0,5.29,5.25,3.32,2040
11008,0.71,Good,E,VS2,63.0,60.0,5.66,5.69,3.57,2612
24498,1.0,Premium,H,SI1,62.2,60.0,6.4,6.29,3.95,4389
4024,1.01,Good,F,SI1,63.3,59.0,6.34,6.39,4.03,4967
